num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label
1,3,0,1,3,0,4,0,1,1,0,1
0,64,2,0,0,0,15,1,4,2,2,1
0,64,2,0,0,0,15,1,4,2,2,1
16,3,0,1,3,2,7,0,0,1,0,1
12,1,0,1,6,0,6,0,4,5,5,1
1,1,0,1,2,1,2,1,0,3,0,1
2,21,0,2,6,9,6,0,0,6,6,1
0,64,2,0,0,0,15,1,4,2,2,1
1,3,0,1,3,0,4,0,2,1,0,1
2,0,0,0,1,0,10,0,1,4,1,1
0,2,0,1,3,0,3,0,1,1,0,1
0,64,2,0,0,0,15,1,4,2,2,1
4,4,0,1,31,1,2,0,3,1,1,1
2,1,0,0,0,0,0,0,1,1,0,1
35,2,8,2,7,3,46,0,12,2,10,1
7,1,0,2,3,2,0,0,0,1,0,1
2,7,0,0,0,1,8,0,0,9,0,1
4,5,0,0,0,1,1,0,2,1,0,1
22,1,0,1,5,1,4,0,11,6,2,1
3,4,0,0,0,1,9,0,1,5,0,1
0,64,2,0,0,0,15,1,4,2,2,1
3,1,0,0,0,0,6,0,2,0,0,1
1,3,0,1,3,0,4,0,2,1,0,1
0,0,0,0,0,0,3,0,1,1,0,1
12,1,0,1,6,0,6,0,4,5,5,1
163,21,0,9,27,2,23,0,2,12,3,1
1,3,0,1,2,0,6,0,2,0,0,1
0,0,0,0,0,0,10,0,2,8,0,1
9,8,0,0,2,2,3,0,1,1,6,1
2,1,0,0,0,0,0,0,1,1,0,1
1,3,0,1,3,0,4,0,2,1,0,1
3,2,0,1,3,0,6,1,0,0,0,1
0,64,2,0,0,0,15,1,4,2,2,1
65,21,0,0,1,8,7,0,1,6,6,1
0,64,2,0,0,0,15,1,4,2,2,1
1,1,0,1,2,1,2,1,0,3,0,1
2,17,0,2,6,6,19,0,4,10,4,1
4,4,1,2,30,1,0,0,0,1,1,1
2,11,0,2,7,3,24,0,5,4,3,1
355,10,0,0,0,7,18,0,0,1,2,1
19,4,0,0,0,0,9,0,1,5,1,1
0,64,2,0,0,0,15,1,4,2,2,1
4,4,1,2,30,1,0,0,0,1,1,1
0,64,2,0,0,0,15,1,4,2,2,1
11,6,0,1,3,0,14,0,3,5,3,1
1,5,0,0,2,2,6,0,1,1,4,1
1,0,0,0,0,0,1,0,0,0,0,1
1,0,0,1,2,1,2,0,1,1,0,1
3,1,0,1,4,0,7,0,2,1,3,1
0,64,2,0,0,0,15,1,4,2,2,1
0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1
7,1,0,1,7,5,12,0,1,3,2,1
2,3,0,1,3,0,3,0,3,0,0,1
8,1,0,1,2,1,0,0,2,2,2,1
0,112,0,1,5,0,2,0,1,0,0,1
4,5,0,0,0,1,1,0,2,1,0,1
14,11,0,2,6,2,5,0,1,7,3,1
4,0,0,1,2,0,3,0,0,9,1,1
0,64,2,0,0,0,15,1,4,2,2,1
2,1,0,1,3,1,30,0,12,0,1,1
8,2,0,1,7,1,3,0,0,2,0,1
5,7,0,1,7,0,2,0,0,3,0,1
7,2,0,2,2,2,9,0,1,12,9,1
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
6,1,0,1,4,1,0,0,3,0,0,1
10,3,0,1,6,2,0,0,1,5,0,1
6,1,0,1,3,3,0,0,5,2,0,1
1,1,0,0,1,0,10,0,1,3,1,1
0,0,0,0,0,1,3,0,0,2,0,1
2,8,0,1,5,1,10,0,0,1,4,1
1,0,0,0,0,0,0,0,1,0,0,1
6,1,0,1,4,1,0,0,3,0,0,1
57,29,2,0,72,10,112,0,9,0,42,1
1,0,0,1,2,1,2,0,1,1,0,1
0,0,1,0,1,0,11,0,1,3,1,1
1,1,0,1,5,0,3,0,1,0,3,1
1,1,0,1,5,0,3,0,1,0,3,1
1,1,0,1,5,0,3,0,1,0,3,1
1,1,0,1,5,0,3,0,1,0,3,1
1,1,0,1,5,0,3,0,1,0,3,1
1,0,1,0,1,0,11,0,1,3,1,1
1,1,0,1,5,0,3,0,1,0,3,1
1,1,0,1,5,0,3,0,1,0,3,1
1,0,1,0,1,0,11,0,1,3,1,1
1,1,0,1,5,0,3,0,1,0,3,1
0,64,2,0,0,0,15,1,4,2,2,1
332,143,1,2,7,8,13,0,1,5,1,1
76,6,0,2,23,2,1,1,0,1,0,1
1,1,0,1,5,0,3,0,1,0,3,1
2,1,0,1,3,1,5,0,1,4,0,1
6,1,0,1,4,1,0,0,3,0,0,1
765,12,6,2,4,13,92,1,17,5,12,1
6,1,0,1,5,0,10,0,3,4,3,1
0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,15,3,4,0,1,0,3,1
57,3,0,2,7,0,0,0,0,1,3,1
1,3,0,2,2,3,1,0,0,1,1,1
35,3,8,2,7,3,49,0,12,2,11,1
164,25,0,9,27,2,26,0,2,19,3,1
0,0,0,0,0,0,4,0,1,1,0,1
30,22,4,0,0,0,1,1,34,5,4,1
6,2,0,2,2,2,12,0,1,13,7,1
1,5,0,0,2,2,6,0,1,1,4,1
46,2,0,1,6,1,36,0,1,6,2,1
9,8,0,0,2,2,3,0,1,1,6,1
3,3,3,1,12,0,18,0,11,6,3,1
6,0,0,0,0,0,6,0,1,0,0,1
15,5,0,1,4,0,0,0,1,0,2,1
0,64,2,0,0,0,15,1,4,2,2,1
91,29,0,1,1,19,1,0,42,3,6,1
91,29,0,1,1,19,1,0,42,3,6,1
7,2,0,2,2,2,12,0,1,12,7,1
6,1,0,1,4,1,0,0,3,0,0,1
7,4,1,2,7,0,0,0,1,0,1,1
52,7,0,0,1,0,5,0,1,1,0,1
19,8,4,2,14,1,52,0,2,13,10,1
0,7,0,1,4,1,6,0,1,3,0,1
13,5,1,2,9,6,58,0,9,19,6,1
7,1,5,2,2,2,16,0,5,1,4,1
163,21,0,9,27,2,23,0,2,12,3,1
1,1,1,1,3,1,4,1,1,0,0,1
216,14,6,4,25,11,50,0,1,3,16,1
0,64,2,0,0,0,15,1,4,2,2,1
1,3,0,1,3,0,4,0,1,1,0,1
0,3,0,2,7,1,7,0,1,2,1,1
1,1,0,1,2,1,3,0,0,2,0,1
3,2,0,2,8,2,4,0,0,3,2,1
31,37,1,0,0,12,8,0,1,2,1,1
0,0,0,0,0,0,0,0,2,1,0,1
3,2,1,2,22,0,3,0,2,0,5,1
1,3,0,1,3,0,4,0,2,1,0,1
24,47,0,1,20,1,22,0,0,10,12,1
124,20,0,1,13,20,3,0,1,1,3,1
224,23,1,1,2,11,16,0,2,4,0,1
224,23,1,1,2,11,16,0,2,4,0,1
7,1,0,1,4,0,3,0,0,1,2,1
3,1,1,1,8,1,27,0,20,7,6,1
0,2,0,1,7,0,1,1,2,0,1,1
10,4,0,1,1,4,5,0,2,1,5,1
1,3,0,1,3,0,4,0,1,1,0,1
1,4,0,0,3,0,22,0,1,4,2,1
125,4,2,2,18,2,37,0,7,8,5,1
124,20,0,1,13,20,3,0,1,1,3,1
62,38,1,0,1,70,8,0,1,2,1,1
64,38,1,0,1,70,8,0,1,2,1,1
13,14,0,1,13,4,10,0,1,6,43,1
62,38,1,0,1,70,8,0,1,2,1,1
0,0,0,0,0,0,10,0,2,8,0,1
2,1,0,1,3,1,6,0,1,4,0,1
11,0,0,1,7,0,5,0,1,1,2,1
64,38,1,0,1,70,8,0,1,2,1,1
62,38,1,0,1,70,8,0,1,2,1,1
1,1,0,1,5,0,3,0,1,0,3,1
0,64,2,0,0,0,15,1,4,2,2,1
18,20,2,3,16,1,62,0,40,0,6,1
9,54,0,1,11,4,7,0,0,3,2,1
1,0,0,1,2,1,2,0,1,1,0,1
0,3,0,1,21,0,14,0,5,2,3,1
57,3,0,2,7,0,0,0,0,1,3,1
3,2,0,1,3,0,5,1,0,0,0,1
4,4,1,2,30,1,0,0,0,1,1,1
4,4,1,2,30,1,0,0,0,1,1,1
10,1,0,1,6,0,6,0,2,0,0,1
2,4,0,1,3,0,8,0,1,1,1,1
5,3,0,1,2,0,0,0,4,1,0,1
11,1,0,2,11,0,8,0,1,3,4,1
5,3,0,1,2,0,0,0,4,1,0,1
103,30,4,3,13,15,84,0,11,5,12,1
59,28,2,3,7,13,28,0,11,5,7,1
8,3,0,1,52,1,4,0,0,1,7,1
35,2,0,1,12,1,0,0,0,4,8,1
3,2,0,1,3,0,5,1,0,0,0,1
0,0,0,0,0,0,4,1,0,5,0,1
36,7,0,2,4,1,27,0,2,9,2,1
35,2,0,1,12,1,0,0,0,4,8,1
0,1,0,1,3,0,4,0,2,3,0,1
3,2,0,1,3,0,5,1,0,0,0,1
2,2,0,0,0,0,0,0,1,0,0,1
0,1,0,0,0,0,3,0,0,2,0,1
4,3,1,2,23,0,8,1,5,1,3,1
4,4,1,2,32,1,8,1,5,1,2,1
15,0,1,1,7,1,0,0,1,3,0,1
8,3,0,1,52,1,4,0,0,1,7,1
57,3,0,2,7,0,0,0,0,1,3,1
57,3,0,2,7,0,0,0,0,1,3,1
57,3,0,2,7,0,0,0,0,1,3,1
4,1,1,0,0,0,4,1,2,1,0,1
18,28,0,1,31,4,13,0,1,4,3,1
0,41,0,2,9,3,14,0,3,1,0,1
3,1,2,0,0,0,15,0,1,2,0,1
9,2,0,1,6,6,0,0,1,0,3,1
9,4,0,0,0,4,1,0,1,0,3,1
15,5,0,1,4,0,0,0,1,0,2,1
0,64,2,0,0,0,15,1,4,2,2,1
3,1,2,0,0,0,15,0,1,2,0,1
0,64,2,0,0,0,15,1,4,2,2,1
3,1,2,0,0,0,15,0,1,2,0,1
0,41,0,2,9,3,14,0,3,1,0,1
0,41,0,2,9,3,14,0,3,1,0,1
64,38,1,0,1,70,8,0,1,2,1,1
64,38,1,0,1,70,8,0,1,2,1,1
3,2,0,0,0,0,3,0,1,0,0,1
35,2,0,1,12,1,0,0,0,4,8,1
1,5,0,0,2,2,7,0,1,1,5,1
4,4,1,2,30,1,0,0,0,1,1,1
1,2,0,0,3,1,19,0,9,2,1,1
23,16,0,1,5,1,8,0,0,10,7,1
2,2,0,0,0,0,0,0,1,0,0,1
35,2,0,1,12,1,0,0,0,4,8,1
10,2,0,1,17,0,10,0,18,0,4,1
9,0,0,1,7,1,2,0,1,1,0,1
9,0,0,1,3,1,2,0,1,1,0,1
