num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label,complexity_score,category
15,2,0,1,4,0,0,0,2,1,0,1,4.8653723523513444e-05,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
7,3,0,1,23,0,1,0,1,1,2,1,0.0001519495818604338,Simple
23,12,3,3,9,17,3,0,0,6,9,1,0.00046233590871776984,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
5,3,0,1,2,2,8,0,2,2,5,1,0.0010501739949035247,Medium
11,1,0,2,11,0,8,0,1,3,4,1,0.00106963548431293,Medium
0,3,0,0,6,0,14,0,1,4,2,1,0.0018094231523591187,Medium
37,5,1,2,1,0,41,0,3,18,6,1,0.005419037464219228,Hard
4,5,0,0,0,1,1,0,2,1,0,1,0.00014221883715573113,Simple
8,1,0,1,3,0,2,0,0,2,0,1,0.00028443767431146226,Simple
17,2,1,1,5,1,8,0,2,6,0,1,0.0010890969737223355,Medium
9,1,0,1,18,5,3,0,3,2,2,1,0.00041692576676249064,Simple
0,2,1,0,4,1,2,0,1,0,1,1,0.0002584890217655884,Simple
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
10,2,0,1,12,1,5,0,1,3,0,1,0.0006786583700963134,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
4,16,0,2,6,17,7,0,0,6,4,1,0.0009176859024524963,Medium
0,0,0,0,0,0,0,0,0,0,0,1,0.0,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,4,0,1,0,1,10,0,1,5,0,1,0.001292445108827942,Medium
3,4,0,1,2,1,14,0,7,3,1,1,0.0018191538970638214,Medium
6,4,1,2,22,0,3,0,1,1,2,1,0.00040719502205778795,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
332,143,1,2,7,8,13,0,1,5,1,1,0.0027570477221300887,Hard
111,4,1,0,0,0,31,0,2,14,2,1,0.004366617391440619,Hard
2,2,0,1,2,2,13,1,1,3,3,1,0.0016866658046127928,Medium
6,5,0,1,2,3,8,0,3,3,0,1,0.0010534175764717589,Medium
7,0,0,2,3,1,8,0,2,3,0,1,0.0010566611580399932,Medium
0,1,0,0,0,0,0,0,0,2,0,1,0.0,Simple
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
7,0,0,1,5,0,2,0,0,1,2,1,0.000281194092743228,Simple
54,6,0,1,5,0,8,0,2,2,7,1,0.001209109491747002,Medium
2,1,0,0,1,1,3,0,1,4,1,1,0.00039422069578485104,Simple
4,1,1,1,4,1,5,0,4,7,1,1,0.000659196880686908,Medium
1,1,0,1,5,0,6,0,1,1,0,1,0.0007787106468649993,Medium
10,1,0,1,1,1,6,0,1,4,0,1,0.0008079028809791075,Medium
5,3,0,1,2,2,8,0,2,2,5,1,0.0010501739949035247,Medium
1,1,0,1,3,0,4,0,1,1,0,1,0.000520221625099411,Simple
0,2,1,1,4,1,8,0,1,0,1,1,0.0010339560870623536,Medium
1,1,0,1,2,1,2,1,0,3,0,1,0.0002617326033338226,Simple
296,81,6,1,2,5,74,0,12,3,5,1,0.010524193949524101,Hard
21,2,0,3,16,6,6,0,1,2,20,1,0.0008435822782296839,Medium
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
55,4,0,2,0,2,2,0,2,1,0,1,0.000436886008018471,Simple
0,2,0,1,7,0,1,1,2,0,1,1,0.0001292445108827942,Simple
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
0,3,0,1,2,12,1,0,2,3,0,1,0.0001292445108827942,Simple
2,1,0,0,1,1,3,0,1,4,1,1,0.00039422069578485104,Simple
164,25,0,9,27,2,26,0,2,19,3,1,0.0038923046601430627,Hard
33,16,3,3,26,5,23,0,1,13,12,1,0.003079661942055996,Hard
7,2,0,2,2,2,9,0,1,12,9,1,0.0011859056689227873,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
15,1,0,1,15,3,21,0,0,2,8,1,0.0027627884520621915,Hard
4,3,0,0,0,0,0,0,0,1,0,1,1.297432627293692e-05,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,0,0,0,0,0,4,0,1,1,0,1,0.0005169780435311768,Simple
114,2,1,0,27,37,22,0,3,1,81,1,0.0032131475382001745,Hard
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
5,3,1,1,4,2,5,0,0,2,1,1,0.0006624404622551422,Medium
4,139,2,4,12,72,5,0,0,8,8,1,0.000659196880686908,Medium
35,3,10,2,7,3,48,0,15,2,12,1,0.0063172618772623194,Hard
10,3,0,2,8,0,7,1,2,7,5,1,0.0009371473918619017,Medium
8,2,0,2,8,0,6,1,2,4,5,1,0.0008014157178426389,Medium
9,2,0,2,8,0,6,1,2,4,5,1,0.0008046592994108732,Medium
9,2,0,2,8,0,6,1,2,4,5,1,0.0008046592994108732,Medium
14,4,0,1,6,2,3,0,3,1,6,1,0.00043314367460366176,Simple
2,11,0,2,7,3,24,0,5,4,3,1,0.003108355424323529,Hard
2,0,1,0,0,1,17,0,2,4,1,1,0.00220364384814397,Medium
0,1,0,1,3,1,7,0,1,3,2,1,0.0009047115761795594,Medium
91,29,0,1,1,19,1,0,42,3,6,1,0.0004244104335921091,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
1,1,0,1,12,1,10,0,0,3,0,1,0.0012956886903961763,Medium
7,0,0,2,3,1,8,0,2,3,0,1,0.0010566611580399932,Medium
3,2,0,1,3,0,5,1,0,0,0,1,0.0006559532991186736,Simple
74,70,0,0,0,1,1,0,0,1,0,1,0.00036926954693212717,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
5,3,0,0,0,3,7,0,0,4,0,1,0.0009209294840207305,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
13,4,0,3,10,7,14,0,5,3,0,1,0.0018515897127461636,Medium
6,3,0,1,7,0,6,0,0,3,2,1,0.0007949285547061705,Medium
5,3,1,1,10,1,15,0,1,4,1,1,0.001954885571083084,Medium
4,5,0,0,0,0,4,0,2,0,0,1,0.0005299523698041137,Simple
3,4,0,0,0,1,9,0,0,5,0,1,0.0011729313426498504,Medium
14,3,0,1,5,2,11,0,0,1,0,1,0.0014670997616660153,Medium
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
7,4,2,2,26,4,9,0,2,1,8,1,0.0011859056689227873,Medium
97,5,0,0,0,0,2,0,0,6,0,1,0.0005731164338843087,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
124,20,0,1,13,20,3,0,1,1,3,1,0.000789937647109427,Medium
6,2,0,1,12,3,53,0,3,1,5,1,0.006869420566197497,Hard
22,2,0,1,4,3,6,0,8,8,1,1,0.0008468258597979181,Medium
91,30,0,1,1,18,2,0,42,3,9,1,0.0005536549444749032,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
28,16,1,0,0,0,8,0,0,4,1,1,0.001124776370972912,Medium
29,3,0,1,5,0,0,0,0,0,0,1,9.406386547879266e-05,Simple
4,6,0,0,0,1,1,0,2,1,0,1,0.00014221883715573113,Simple
2,1,0,0,1,1,3,0,1,4,1,1,0.00039422069578485104,Simple
15,0,0,1,2,1,6,0,3,4,3,1,0.0008241207888202785,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
17,8,4,1,31,0,5,0,1,1,4,1,0.000701363441073953,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
64,38,0,2,5,6,15,0,4,1,1,1,0.0021462568836089035,Medium
5,4,0,1,7,2,5,0,0,2,0,1,0.0006624404622551422,Medium
91,29,0,1,1,19,1,0,42,3,6,1,0.0004244104335921091,Simple
107,22,0,1,5,5,6,0,1,7,4,1,0.0011225302930978277,Medium
9,2,0,1,6,6,0,0,1,0,3,1,2.9192234114108065e-05,Simple
57,3,0,2,7,0,0,0,0,1,3,1,0.00018488414938935108,Simple
9,4,0,0,0,4,1,0,1,0,3,1,0.00015843674499690225,Simple
15,5,0,1,4,0,0,0,1,0,2,1,4.8653723523513444e-05,Simple
6,5,0,0,0,0,4,0,2,0,0,1,0.0005364395329405822,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
1,1,0,1,5,0,3,0,1,0,3,1,0.0003909771142166168,Simple
5,3,1,2,22,0,2,0,2,0,5,1,0.00027470692960675957,Simple
6,1,0,1,4,1,0,0,3,0,0,1,1.946148940940538e-05,Simple
6,2,1,0,0,0,2,0,1,0,0,1,0.0002779505111749938,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
3,1,0,1,4,0,7,0,2,1,3,1,0.000914442320884262,Medium
8,10,0,0,3,0,2,0,1,0,0,1,0.00028443767431146226,Simple
124,1,1,1,14,21,14,0,1,6,1,1,0.002211627266820163,Medium
84,18,0,19,49,18,3,0,0,1,0,1,0.0006601943843800579,Medium
94,0,0,0,0,3,15,0,2,3,3,1,0.0022435643306559306,Medium
1,5,0,0,2,2,7,0,1,1,5,1,0.0009079551577477936,Medium
